current_path,previous_path,proposed_final_path,role,action,phase,area,risk_level,rationale
.codeprobeignore.example,,.codeprobeignore.example,standard project file,keep,current,root,low,canonical current path
.gitattributes,,.gitattributes,repository checkout policy,added_audit_phase4,audit-4,root,high,added during hostile audit Phase 4 to make checkout bytes deterministic
.github/workflows/ci.yml,,.github/workflows/ci.yml,continuous-integration workflow,added_audit_phase4,audit-4,.github,high,added during hostile audit Phase 4 to enforce the required release gates
.gitignore,,.gitignore,standard project file,keep,current,root,low,canonical current path
00-kit-index.md,KIT_INDEX.md,00-kit-index.md,standard project file,completed_phase13,13,root,low,final naming-stable path; previous_path records migration source where applicable
CHANGELOG.md,,CHANGELOG.md,standard project file,keep,current,root,low,canonical current path
CONTRIBUTING.md,,CONTRIBUTING.md,standard project file,keep,current,root,low,canonical current path
LICENSE,,LICENSE,standard project file,keep,current,root,low,canonical current path
README.md,,README.md,standard project file,keep,current,root,low,canonical current path
app/README.md,,app/README.md,browser app asset,keep,current,app,high,canonical current path
app/codeprobe-ui.js,src/index.js,app/codeprobe-ui.js,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/codeprobe.css,,app/codeprobe.css,browser app asset,keep,current,app,high,canonical current path
app/index.html,src/index.html,app/index.html,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/project-ui.js,src/project_index.js,app/project-ui.js,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/project.css,src/project_index.css,app/project.css,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/project.html,src/project_index.html,app/project.html,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/pyodide-loader.js,src/pyodide_loader.js,app/pyodide-loader.js,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/pyodide-provenance.json,,app/pyodide-provenance.json,browser app asset,added_audit_phase4c,audit-4c,app,high,measured Pyodide core-startup provenance and integrity inventory
app/resource-integrity.json,src/RESOURCE_INTEGRITY_MANIFEST.json,app/resource-integrity.json,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/runtime-config.example.json,src/runtime_config.example.json,app/runtime-config.example.json,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/runtime-config.json,src/runtime_config.json,app/runtime-config.json,browser app asset,completed_migration,current,app,high,final naming-stable path; previous_path records migration source where applicable
app/vendor/pyodide/README.md,,app/vendor/pyodide/README.md,browser app asset,keep,current,app,high,canonical current path
calibration/01-corpus-manifest-template.csv,calibration/manifest_template.csv,calibration/01-corpus-manifest-template.csv,calibration template or placeholder,completed_migration,current,calibration,medium,final naming-stable path; previous_path records migration source where applicable
calibration/01-corpus-manifest-template.json,calibration/manifest_template.json,calibration/01-corpus-manifest-template.json,calibration template or placeholder,completed_migration,current,calibration,medium,final naming-stable path; previous_path records migration source where applicable
calibration/02-calibration-profile-template.json,calibration/profile_template.json,calibration/02-calibration-profile-template.json,calibration template or placeholder,completed_migration,current,calibration,medium,final naming-stable path; previous_path records migration source where applicable
calibration/03-example-calibration-profile.json,calibration/example_profile.json,calibration/03-example-calibration-profile.json,calibration template or placeholder,completed_migration,current,calibration,medium,final naming-stable path; previous_path records migration source where applicable
calibration/04-validation-summary-template.md,calibration/validation_summary_template.md,calibration/04-validation-summary-template.md,calibration template or placeholder,completed_migration,current,calibration,medium,final naming-stable path; previous_path records migration source where applicable
calibration/README.md,,calibration/README.md,calibration template or placeholder,keep,current,calibration,medium,canonical current path
calibration/profiles/README.md,,calibration/profiles/README.md,calibration template or placeholder,keep,current,calibration,medium,canonical current path
calibration/reports/.gitkeep,,calibration/reports/.gitkeep,calibration template or placeholder,keep,current,calibration,medium,canonical current path
docs/00-file-catalogue.md,,docs/00-file-catalogue.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/01-naming-policy.md,,docs/01-naming-policy.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/02-architecture.md,,docs/02-architecture.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/03-report-schema.md,,docs/03-report-schema.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/04-browser-security.md,,docs/04-browser-security.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/05-offline-deployment.md,,docs/05-offline-deployment.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/06-calibration-guide.md,,docs/06-calibration-guide.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/07-ui-extension-guide.md,,docs/07-ui-extension-guide.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/08-release-process.md,,docs/08-release-process.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/09-release-integrity.md,,docs/09-release-integrity.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/10-provenance.md,AI_ASSISTANCE_AND_PROVENANCE.md,docs/10-provenance.md,technical documentation or asset,completed_migration,current,docs,medium,final naming-stable path; previous_path records migration source where applicable
docs/11-design-decisions.md,DESIGN_DECISIONS.md,docs/11-design-decisions.md,technical documentation or asset,completed_migration,current,docs,medium,final naming-stable path; previous_path records migration source where applicable
docs/12-release-hash-sheet.md,,docs/12-release-hash-sheet.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/13-signed-release-workflow.md,,docs/13-signed-release-workflow.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/14-optimisation-roadmap.md,,docs/14-optimisation-roadmap.md,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/15-final-release-audit.md,,docs/15-final-release-audit.md,technical documentation or asset,added_phase13,13,docs,medium,final naming-stable path; previous_path records migration source where applicable
docs/16-ci-and-repository-controls.md,,docs/16-ci-and-repository-controls.md,technical documentation or asset,added_audit_phase4,audit-4,docs,medium,added during hostile audit Phase 4 to define CI and repository controls
docs/17-supported-coverage.md,,docs/17-supported-coverage.md,technical documentation or asset,added_audit_phase4d,audit-4d,docs,medium,"supported-code coverage scope, floors and limitations"
docs/18-runtime-integrity.md,,docs/18-runtime-integrity.md,technical documentation or asset,added_audit_phase4f1,audit-4f1,docs,medium,documents byte-consumption integrity and the real functional browser gate
docs/assets/interface-preview.png,,docs/assets/interface-preview.png,technical documentation or asset,keep,current,docs,medium,canonical current path
docs/history/01-stabilisation.md,,docs/history/01-stabilisation.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/02-parser-and-metrics.md,,docs/history/02-parser-and-metrics.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/03-project-mode.md,,docs/history/03-project-mode.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/04-calibration.md,,docs/history/04-calibration.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/05-release-metadata.md,,docs/history/05-release-metadata.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/06-browser-security.md,,docs/history/06-browser-security.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/07-institutional-packaging.md,,docs/history/07-institutional-packaging.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/08-dynamic-ui-and-review.md,,docs/history/08-dynamic-ui-and-review.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/09-release-integrity.md,,docs/history/09-release-integrity.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/10-naming-governance.md,,docs/history/10-naming-governance.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/11-documentation-resources.md,,docs/history/11-documentation-resources.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/12-runtime-app-tools.md,,docs/history/12-runtime-app-tools.md,phase-history note,keep,current,docs,medium,canonical current path
docs/history/13-final-audit.md,,docs/history/13-final-audit.md,technical documentation or asset,added_phase13,13,docs,medium,final naming-stable path; previous_path records migration source where applicable
educator/01-student-quick-start.md,,educator/01-student-quick-start.md,educator resource,keep,current,educator,medium,canonical current path
educator/02-student-announcement.docx,educator_resources/AI_FINGERPRINT_SELF_CHECK_ANNOUNCEMENT_REVISED.docx,educator/02-student-announcement.docx,educator resource,completed_migration,current,educator,medium,final naming-stable path; previous_path records migration source where applicable
educator/02-student-announcement.md,educator_resources/AI_FINGERPRINT_SELF_CHECK_ANNOUNCEMENT_REVISED.md,educator/02-student-announcement.md,educator resource,completed_migration,current,educator,medium,final naming-stable path; previous_path records migration source where applicable
