legacy_metric,decision,replacement_observation_ids,rationale,oracle_class_or_basis,primary_phase_owner,residual_validity_question,legacy_score_weight_preserved,legacy_thresholds_preserved,provenance_interpretation_preserved
line_length_uniformity,SPLIT_REVISE_IMPLEMENTED,source.mean_line_length_codepoints;source.population_sd_line_length_codepoints;source.line_length_cv,Descriptive distributional statistics replace the old provenance-oriented score.,O-GEN-DISPERSION,S02,Formatting sensitivity and cross-language comparability require S03/E01 stress tests.,false,false,false
comment_density,SPLIT_REVISE_PYTHON_IMPLEMENTED,python.comment_token_count;python.comment_physical_line_count;python.comment_line_proportion,Raw Python comment counts and an explicit denominator replace an opaque density score.,O-PY-TOKENIZE;O-GEN-LINES,S02,Other languages require parser-specific contracts.,false,false,false
comment_genericness,RETIRE,,Lexicon-based genericness has no stable construct or independent oracle and is highly genre-sensitive.,O-BOUNDED-RATIONALE,E01,Could be reconsidered only after a validated linguistic construct and multilingual bias analysis.,false,false,false
blank_line_regularity,SPLIT_REVISE_IMPLEMENTED,source.blank_line_count;source.max_blank_line_run_length,Raw spacing observations replace a regularity judgement.,O-GEN-LINES,S02,Formatter sensitivity remains a nuisance factor.,false,false,false
lexical_entropy,DEFER_REDESIGN,,"Token entropy depends on tokenizer, length and language and is not yet linked to an admissible formative action.",O-BOUNDED-RATIONALE,E01,Requires length-conditioned robustness and construct study.,false,false,false
error_handling_density,SPLIT_REVISE_PYTHON_IMPLEMENTED,python.exception_handler_count;python.raise_statement_count,Raw syntax counts replace a density that conflated distinct behaviours.,O-PY-AST-COUNT,S02,Adequacy and reachability are not measured.,false,false,false
boilerplate_presence,RETIRE_REPLACE_PROCESS_EVIDENCE,,Surface template similarity cannot identify cause; declared scaffolding belongs in process evidence.,O-BOUNDED-RATIONALE,M01,No code-derived provenance inference is permitted.,false,false,false
identifier_style,DEFER_SPLIT,,"Identifier spelling, convention conformance and lexical diversity are distinct and language/policy dependent.",O-BOUNDED-RATIONALE,S03,Requires language-specific name resolution and nuisance controls.,false,false,false
function_length,SPLIT_REVISE_PYTHON_IMPLEMENTED,python.function_definition_count;python.async_function_definition_count;python.callable.physical_span_lines,Per-entity source spans and explicit counts replace a single mixed summary.,O-PY-CALLABLE;O-PY-AST-COUNT,S02,Executable SLOC and semantic size are not measured.,false,false,false
cyclomatic_complexity,REVISE_BOUNDED_PYTHON_IMPLEMENTED,python.callable.decision_point_count;python.callable.mccabe_complexity,"A finite, explicit AST convention replaces an implementation-dependent label.",O-PY-CALLABLE,S02,Not equivalent to every CFG-based implementation.,false,false,false
halstead_difficulty,RETIRE_FROM_REFERENCE_KERNEL,,Operator and operand taxonomies vary by parser and the composite lacks a justified formative use here.,O-BOUNDED-RATIONALE,E01,"May be studied as an external comparator, not a core observation.",false,false,false
magic_numbers,RENAME_SPLIT_IMPLEMENTED,python.numeric_literal_count,The kernel counts numeric literals without judging them as magic.,O-PY-AST-COUNT,S02,Contextual appropriateness remains a human review question.,false,false,false
dead_code_residue,DEFER_REDESIGN,,Commented-code and debugging-cue classification has high false-positive risk and no stable finite parser across languages.,O-BOUNDED-RATIONALE,S03,Requires independently labelled conformance fixtures.,false,false,false
nesting_depth,REVISE_BOUNDED_PYTHON_IMPLEMENTED,python.callable.max_control_nesting_depth,A declared control-container set and nested-scope boundary replace an ambiguous global depth.,O-PY-CALLABLE,S02,Not cognitive complexity.,false,false,false
defensive_programming,RETIRE_COMPOSITE,python.exception_handler_count;python.raise_statement_count,"The composite mixed guards, wrappers and exceptions without a common unit.",O-BOUNDED-RATIONALE,E01,Future policies may consume atomic evidence after validation.,false,false,false
comment_to_code_ratio,REPLACE_DENOMINATOR_IMPLEMENTED,python.comment_physical_line_count;source.physical_line_count;python.comment_line_proportion,The old code-line denominator was parser-dependent; the new proportion declares physical-line semantics.,O-PY-TOKENIZE;O-GEN-LINES,S02,Inline comments and non-code lines remain explicit limitations.,false,false,false
declarative_ratio,DEFER_SPLIT,,Declaration categories are language-specific and the prior ratio mixed unlike statements.,O-BOUNDED-RATIONALE,S03,Requires per-language statement ontology.,false,false,false
control_ratio,DEFER_SPLIT,python.callable.decision_point_count,Only per-callable decision points are retained; a global ratio is deferred.,O-PY-CALLABLE,S03,A defensible global denominator is not yet selected.,false,false,false
type_token_ratio,DEFER_REDESIGN,,Strong length dependence and tokenisation variance require explicit correction and external validation.,O-BOUNDED-RATIONALE,E01,No core implementation in S02.,false,false,false
indentation_consistency,SPLIT_REVISE_IMPLEMENTED,source.trailing_whitespace_line_count;source.mixed_indentation_line_count,Mechanical counts replace a global consistency score.,O-GEN-LINES,S02,Language-specific indentation validity is not inferred.,false,false,false
used_import_ratio,DEFER_NAME_RESOLUTION,python.import_statement_count;python.imported_binding_count;python.wildcard_import_count,S02 retains explicit import syntax only and refuses to infer use without scope-aware binding resolution.,O-PY-AST-COUNT,S03,"Dynamic imports, shadowing and attribute use require a stronger analyser.",false,false,false
structural_self_similarity,DEFER_RESEARCH,,"Similarity depends on representation, normalisation and threshold choice and lacks a reference oracle.",O-BOUNDED-RATIONALE,E01,Requires clone/scaffold controls and metamorphic experiments.,false,false,false
function_complexity_uniformity,RETIRE_COMPOSITE,python.callable.decision_point_count;python.callable.mccabe_complexity,Per-callable observations preserve the distribution; no uniformity judgement is emitted.,O-PY-CALLABLE,E01,Distributional summaries may be analysed externally.,false,false,false
docstring_coverage,SPLIT_REVISE_PYTHON_IMPLEMENTED,python.docstring_eligible_definition_count;python.docstring_present_definition_count;python.docstring_coverage_proportion,"Numerator, denominator and proportion are separately observable and zero-denominator is typed.",O-PY-DOC,S02,Presence is not quality.,false,false,false
type_hint_coverage,SPLIT_REVISE_PYTHON_IMPLEMENTED,python.annotation_eligible_slot_count;python.annotation_present_slot_count;python.annotation_coverage_proportion,Signature slots and coverage are explicitly defined.,O-PY-ANNOTATION,S02,No type checking is performed.,false,false,false
javascript_modern_syntax,RETIRE,,Syntax recency is not a quality construct and is confounded by project target and transpilation policy.,O-BOUNDED-RATIONALE,R00,No replacement required.,false,false,false
bash_quoting_consistency,DEFER_PARSER_CONTRACT,,A shell dialect and expansion-aware parser is required before a defensible denominator exists.,O-BOUNDED-RATIONALE,S03,zsh/ksh admission cannot be treated as Bash semantic equivalence.,false,false,false
import_organization,DEFER_POLICY_LAYER,python.import_statement_count;python.imported_binding_count;python.wildcard_import_count,Raw syntax remains observable; ordering is a configurable policy rather than a universal measure.,O-PY-AST-COUNT,S04,Policy evaluation must declare grouping rules.,false,false,false
register_pressure,RETIRE_MISLEADING_NAME,,Source-name occurrence is not allocated hardware-register pressure.,O-BOUNDED-RATIONALE,R01,Retained only as historical evidence in v2 reports.,false,false,false
stack_frame_depth,RETIRE_MISLEADING_NAME,,Source declaration-size estimates are not compiler-emitted stack-frame depth.,O-BOUNDED-RATIONALE,R01,A compiler-specific study would require toolchain evidence.,false,false,false
redundant_memory_access,RETIRE_MISLEADING_NAME,,Lexical repetition does not measure memory traffic or safe optimisation.,O-BOUNDED-RATIONALE,R01,A compiler/IR analysis would be a separate instrument.,false,false,false
code_elegance,RETIRE_SUBJECTIVE_COMPOSITE,,The composite combines heterogeneous properties and embeds an undefined evaluative judgement.,O-BOUNDED-RATIONALE,R00,Atomic evidence may later support explicit reviewer questions.,false,false,false
preprocessor_hygiene,DEFER_SPLIT_C_CPP,,"Include guards, macro use, conditional depth and ordering require separate observations and policy contexts.",O-BOUNDED-RATIONALE,S03,No C/C++ preprocessor execution occurs.,false,false,false
markdown_heading_structure,SPLIT_REVISE_IMPLEMENTED,markdown.atx_heading_count;markdown.setext_heading_count;markdown.heading_level_jump_count,Finite raw counts replace a single editorial score.,O-MD-FINITE,S02,Container semantics remain outside the subset.,false,false,false
markdown_code_fence_density,SPLIT_REVISE_IMPLEMENTED,markdown.fenced_code_block_count;source.physical_line_count,Raw numerator and denominator are retained; no default density band is emitted.,O-MD-FINITE;O-GEN-LINES,S02,Genre appropriateness is not measured.,false,false,false
markdown_link_density,DEFER_PARSER_CONTRACT,,"Inline, reference, autolink and HTML forms need a more complete finite grammar before counting.",O-BOUNDED-RATIONALE,S03,No S02 implementation.,false,false,false
markdown_prose_entropy,DEFER_REDESIGN,,ASCII-oriented token entropy is linguistically biased and length-sensitive.,O-BOUNDED-RATIONALE,E01,Requires multilingual and genre-conditioned analysis.,false,false,false
